"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 17, 2019","1,372.18","1,371.09","1,386.95","1,367.98","-","0.09%"
"Oct 16, 2019","1,371.00","1,355.82","1,371.00","1,350.76","-","1.10%"
"Oct 15, 2019","1,356.12","1,351.62","1,363.93","1,348.48","-","0.34%"
"Oct 14, 2019","1,351.50","1,356.66","1,358.66","1,340.93","-","-0.30%"
"Oct 11, 2019","1,355.56","1,343.92","1,362.24","1,343.92","-","0.86%"
"Oct 10, 2019","1,343.94","1,326.71","1,344.40","1,325.54","-","1.25%"
"Oct 09, 2019","1,327.31","1,334.60","1,334.60","1,321.61","-","-0.48%"
"Oct 08, 2019","1,333.65","1,340.15","1,342.87","1,331.20","-","-0.47%"
"Oct 07, 2019","1,340.00","1,322.86","1,340.17","1,316.83","-","1.29%"
"Oct 04, 2019","1,322.88","1,309.84","1,325.28","1,307.97","-","0.95%"
"Oct 03, 2019","1,310.45","1,310.30","1,317.63","1,306.16","-","0.01%"
"Oct 02, 2019","1,310.35","1,325.23","1,325.28","1,307.61","-","-1.13%"
"Oct 01, 2019","1,325.32","1,319.37","1,327.51","1,318.66","-","0.46%"
"Sep 30, 2019","1,319.27","1,338.41","1,338.41","1,316.36","-","-1.42%"
"Sep 27, 2019","1,338.31","1,348.04","1,348.64","1,333.53","-","-0.83%"
"Sep 26, 2019","1,349.56","1,338.02","1,358.28","1,338.02","-","1.05%"
"Sep 25, 2019","1,335.54","1,356.66","1,358.22","1,329.96","-","-1.78%"
"Sep 23, 2019","1,359.73","1,380.99","1,382.56","1,353.73","-","-1.56%"
"Sep 20, 2019","1,381.26","1,376.13","1,388.84","1,374.52","-","0.34%"
"Sep 19, 2019","1,376.54","1,386.03","1,386.84","1,362.55","-","-0.72%"
"Sep 18, 2019","1,386.51","1,398.68","1,404.28","1,378.41","-","-0.86%"
