"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 08, 2019","2,171.02","2,212.35","2,212.35","2,145.49","-","-2.64%"
"Nov 07, 2019","2,229.79","2,217.74","2,241.30","2,210.86","-","0.01%"
"Nov 06, 2019","2,229.59","2,273.84","2,294.62","2,194.44","-","-1.57%"
"Nov 05, 2019","2,265.18","2,253.95","2,274.92","2,251.10","-","-0.19%"
"Nov 04, 2019","2,269.44","2,256.17","2,282.83","2,249.64","-","0.14%"
"Nov 01, 2019","2,266.28","2,242.76","2,277.32","2,240.23","-","1.81%"
"Oct 31, 2019","2,226.04","2,268.53","2,268.63","2,205.07","-","-1.04%"
"Oct 30, 2019","2,249.44","2,234.07","2,266.91","2,206.95","-","0.17%"
"Oct 29, 2019","2,245.52","2,262.29","2,263.08","2,234.19","-","-1.01%"
"Oct 28, 2019","2,268.49","2,246.98","2,268.49","2,246.09","-","1.84%"
"Oct 25, 2019","2,227.60","2,219.94","2,246.51","2,219.93","-","0.04%"
"Oct 24, 2019","2,226.71","2,239.76","2,242.10","2,202.07","-","1.02%"
"Oct 23, 2019","2,204.19","2,188.84","2,227.21","2,178.05","-","0.67%"
"Oct 22, 2019","2,189.60","2,152.12","2,199.80","2,148.48","-","2.62%"
"Oct 21, 2019","2,133.79","2,118.55","2,137.69","2,103.19","-","1.00%"
"Oct 18, 2019","2,112.69","2,114.47","2,127.90","2,106.14","-","-0.46%"
"Oct 17, 2019","2,122.55","2,126.54","2,145.48","2,099.43","-","0.43%"
"Oct 16, 2019","2,113.36","2,092.45","2,123.33","2,069.51","-","0.31%"
"Oct 15, 2019","2,106.93","2,101.99","2,116.97","2,092.65","-","-0.27%"
"Oct 14, 2019","2,112.70","2,105.46","2,112.70","2,095.84","-","0.07%"
"Oct 11, 2019","2,111.26","2,067.35","2,131.99","2,066.70","-","1.79%"
"Oct 10, 2019","2,074.14","2,053.79","2,087.13","2,044.28","-","0.61%"
"Oct 09, 2019","2,061.62","2,045.73","2,073.44","2,037.28","-","0.80%"
"Oct 08, 2019","2,045.30","2,052.17","2,073.86","2,033.44","-","-0.98%"
"Oct 07, 2019","2,065.57","2,106.69","2,107.44","2,045.07","-","-2.06%"
"Oct 04, 2019","2,108.94","2,085.28","2,112.64","2,070.80","-","1.91%"
"Oct 03, 2019","2,069.33","2,045.45","2,072.92","2,027.68","-","1.95%"
"Oct 02, 2019","2,029.69","2,089.43","2,091.18","2,029.69","-","-2.54%"
"Oct 01, 2019","2,082.67","2,097.61","2,103.85","2,081.80","-","-0.90%"
"Sep 30, 2019","2,101.52","2,116.19","2,118.55","2,099.41","-","-0.76%"
"Sep 27, 2019","2,117.52","2,121.27","2,131.49","2,100.27","-","-0.27%"
"Sep 26, 2019","2,123.33","2,113.25","2,123.33","2,100.86","-","1.51%"
"Sep 25, 2019","2,091.75","2,078.93","2,105.38","2,056.16","-","0.38%"
"Sep 24, 2019","2,083.82","2,105.00","2,109.51","2,073.35","-","-0.80%"
"Sep 23, 2019","2,100.65","2,109.45","2,109.99","2,086.81","-","-0.04%"
"Sep 20, 2019","2,101.53","2,097.40","2,116.29","2,084.06","-","-0.48%"
"Sep 19, 2019","2,111.60","2,116.96","2,153.00","2,099.50","-","-1.10%"
"Sep 18, 2019","2,135.13","2,142.42","2,148.06","2,112.99","-","-0.21%"
"Sep 17, 2019","2,139.58","2,117.98","2,151.39","2,100.43","-","0.36%"
"Sep 16, 2019","2,131.81","2,120.42","2,135.82","2,100.20","-","-0.31%"
"Sep 13, 2019","2,138.38","2,155.78","2,163.90","2,115.03","-","-0.87%"
"Sep 12, 2019","2,157.14","2,151.59","2,169.77","2,141.68","-","0.89%"
"Sep 11, 2019","2,138.15","2,123.01","2,152.41","2,123.01","-","1.82%"
"Sep 10, 2019","2,099.95","2,110.66","2,121.24","2,080.44","-","-0.79%"
"Sep 09, 2019","2,116.59","2,125.82","2,146.26","2,104.55","-","-0.39%"
"Sep 06, 2019","2,124.79","2,104.99","2,129.83","2,104.99","-","1.36%"
"Sep 05, 2019","2,096.24","2,080.15","2,123.79","2,079.89","-","1.70%"
"Sep 04, 2019","2,061.16","2,015.56","2,069.06","2,015.56","-","2.68%"
"Sep 03, 2019","2,007.32","2,023.16","2,044.31","1,990.71","-","-0.97%"
"Sep 02, 2019","2,026.97","2,042.56","2,050.39","2,014.26","-","-1.21%"
